"Region","Country","SiteID","National Name","International Name","Final Code","Area","Latitude","Longitude","Criteria"
"Africa","South Africa ","7175","Agulhas Plain - Heuningnes Estuary ","Agulhas Plain - Heuningnes Estuary","ZA100","9000","-34.716666666667","20","A1, A4i"
"Africa","South Africa ","7107","Alexpan ","Alexpan","ZA032","900","-28.15","29.3","A1"
"Africa","South Africa ","7149","Algoa Bay Islands: Addo Elephant National Park ","Algoa Bay Islands: Addo Elephant National Park","ZA074","40","-33.816666666667","26.033333333333","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","44672","Amatole - Katberg Mountain ","Amatole - Katberg Mountain","","0","-32.632","27.106",""
"Africa","South Africa ","7089","Amersfoort - Bethal - Carolina District ","Amersfoort - Bethal - Carolina District","ZA014","120000","-26.533333333333","29.833333333333","A1, A2, A3, A4i, A4ii"
"Africa","South Africa ","7162","Anysberg Nature Reserve ","Anysberg Nature Reserve","ZA087","34015","-33.416666666699996","20.6166666667","A1, A2, A3"
"Africa","South Africa ","7097","Augrabies Falls National Park ","Augrabies Falls National Park","ZA022","25900","-28.583333333299997","20.333333333299997","A3"
"Africa","South Africa ","7094","Barberspan and Leeupan ","Barberspan and Leeupan","ZA019","4000","-26.55","25.6","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","32048","Benfontein ","Benfontein","","0","-28.866","24.812",""
"Africa","South Africa ","7158","Berg River Estuary ","Berg River Estuary","ZA083","6621","-32.783333333333","18.266666666667","A4i"
"Africa","South Africa ","7154","Bird Island ","Bird Island","ZA079","3","-32.0833333333","18.3","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7102","Bitterputs Conservation Area ","Bitterputs Conservation Area","ZA027","45540","-29.833333333299997","19","A1, A2, A3"
"Africa","South Africa ","7078","Blouberg ","Blouberg","ZA003","30000","-23.116666666667","28.966666666667","A1, A4ii"
"Africa","South Africa ","44663","Blyde River Canyon ","Blyde River Canyon","","0","-24.685","30.589",""
"Africa","South Africa ","7161","Boland Mountains ","Boland Mountains","ZA086","250000","-33.783333333333","19.133333333333","A1, A2, A3"
"Africa","South Africa ","32058","Botsalano Nature Reserve ","Botsalano Nature Reserve","","0","-25.563","25.71",""
"Africa","South Africa ","7171","Boulders Beach ","Boulders Beach","ZA096","2","-34.2","18.45","A1"
"Africa","South Africa ","7144","Camdeboo National Park ","Camdeboo National Park","ZA069","17500","-32.25","24.5333333333","A1, A3, A4ii"
"Africa","South Africa ","7172","Cape Whale Coast ","Cape Whale Coast","ZA097","1400","-34.333333333333","19.166666666667","A4i, A4iii"
"Africa","South Africa ","7155","Cedarberg - Koue Bokkeveld complex ","Cedarberg - Koue Bokkeveld complex","ZA080","500000","-32.633333333333","19.3","A1, A2, A3"
"Africa","South Africa ","7090","Chrissie Pans ","Chrissie Pans","ZA015","62500","-26.316666666667","30.25","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7142","Collywobbles Vulture Colony ","Collywobbles Vulture Colony","ZA067","2000","-32","28.6166666667","A1, A4ii"
"Africa","South Africa ","7163","Dassen Island ","Dassen Island","ZA088","273","-33.416666666667","18.083333333333","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7173","De Hoop Nature Reserve ","De Hoop Nature Reserve","ZA098","40000","-34.4333333333","20.4833333333","A1, A2, A3, A4i, A4iii"
"Africa","South Africa ","44667","Devon Grasslands ","Devon Grasslands","","0","-26.498","28.744","A1"
